# 兵装仕様

## 共通表記

- 発射速度：1秒あたりの発射数
- 威力：パイロットステータス補正前の基礎ダメージ
- 最大飛翔時間：弾体が消滅または炸裂するまでの最大時間
- 誘導性能：比例航法による最大旋回速度
- 航法定数：比例航法定数 `N`
- シーカー角 `0deg`：角度制限なし
- ARH目標候補化閾値：終末誘導開始時に保存した目標の視線方向速度から許容する差
- 子弾：親弾の寿命終了時、または炸裂時に生成
- 表示威力：親弾単体の威力。子弾の威力は含めない
- 信管種別：なし／時限／近接／接触

---

## 7.7mmガンポッド

### 基本性能

| 項目 | 値 |
### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Rocket（子弾） |
| 発射速度 | 0.3発/s |
| 重量 | 80 |
| 威力 | 70 |
| 初速 | 15m/s |
| 散布界 | 0deg |
| 最大飛翔時間 | 5s |

### 拡張性能

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 25m/s² |
| 噴進時間 | 2s |
| 誘導方式 | N/A |
| 誘導性能 | 0deg/s |
| 信管種別 | 時限 |
| 信管半径 | 0m |
| 炸裂時間 | 5s |
| 爆発半径 | 3m |

### 子弾

| 子弾 | 数量 |
|---|---:|
| 共通弾殻 | 36 |
---

## STDIRM

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Missile |
| 発射速度 | 0.3発/s |
| 重量 | 150 |
| 威力 | 20 |
| 初速 | 100m/s |
| 散布界 | 0.5deg |
| 最大飛翔時間 | 8s |

### 推進・表示

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 25m/s² |
| 噴進時間 | 5s |

### 誘導

| 項目 | 値 |
|---|---:|
| 誘導方式 | IR |
| 誘導性能 | 12deg/s |
| 航法定数 | 3 |
| シーカー角 | 35deg |
| IR別目標誘引確率 | 0.03% |

### 信管

| 項目 | 値 |
|---|---:|
| 信管種別 | 近接 |
| 信管半径 | 1m |
| 炸裂時間 | 0s |
| 爆発半径 | 1.2m |

---

## IRCM-A

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Missile（カウンターメジャー） |
| カウンターメジャー署名 | IR |
| 発射速度 | 2発/s |
| 重量 | 30 |
| 威力 | 0 |
| 初速 | 0.1m/s |
| 散布界 | 0.5deg |
| 最大飛翔時間 | 2s |

### 拡張性能

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 0.1m/s² |
| 噴進時間 | 1s |
| 誘導方式 | IR |
| 誘導性能 | 0deg/s |
| シーカー角 | 0deg |
| 信管種別 | なし |
| 爆発半径 | 0m |

---

## QIRM

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Missile |
| 発射速度 | 0.3発/s |
| 重量 | 80 |
| 威力 | 20 |
| 初速 | 100m/s |
| 散布界 | 0.5deg |
| 最大飛翔時間 | 8s |

### 推進・誘導

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 25m/s² |
| 噴進時間 | 5s |
| 誘導方式 | IR |
| 誘導性能 | 110deg/s |
| 航法定数 | 3 |
| シーカー角 | 35deg |
| IR別目標誘引確率 | 0.03% |

### 信管

| 項目 | 値 |
|---|---:|
| 信管種別 | 近接 |
| 信管半径 | 1m |
| 炸裂時間 | 0s |
| 爆発半径 | 1.2m |

---

## QIRM-2

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Missile |
| 発射速度 | 0.3発/s |
| 重量 | 80 |
| 威力 | 25 |
| 初速 | 100m/s |
| 散布界 | 0.5deg |
| 最大飛翔時間 | 8s |

### 推進・誘導

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 25m/s² |
| 噴進時間 | 5s |
| 誘導方式 | IR |
| 誘導性能 | 110deg/s |
| 航法定数 | 3 |
| シーカー角 | 25deg |
| IR別目標誘引確率 | 0.024% |

### 信管

| 項目 | 値 |
|---|---:|
| 信管種別 | 近接 |
| 信管半径 | 1m |
| 炸裂時間 | 0s |
| 爆発半径 | 1.2m |

---

## LR-QIRM-2

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Missile |
| 発射速度 | 0.1発/s |
| 重量 | 80 |
| 威力 | 250 |
| 初速 | 150m/s |
| 散布界 | 0.5deg |
| 最大飛翔時間 | 30s |

### 推進・誘導

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 25m/s² |
| 噴進時間 | 15s |
| 誘導方式 | IR |
| 誘導性能 | 20deg/s |
| 航法定数 | 3 |
| シーカー角 | 5deg |
| IR別目標誘引確率 | 0.007% |

### 信管

| 項目 | 値 |
|---|---:|
| 信管種別 | 近接 |
| 信管半径 | 12m |
| 炸裂時間 | 0s |
| 爆発半径 | 15m |

---

## SARH-ARHM-2(ECCM)

### 基本性能

| 項目 | 値 |
|---|---:|
| 兵装種別 | Missile |
| 発射速度 | 0.1発/s |
| 重量 | 80 |
| 威力 | 250 |
| 初速 | 150m/s |
| 散布界 | 0.5deg |
| 最大飛翔時間 | 30s |

### 推進・表示

| 項目 | 値 |
|---|---:|
| 弾体表示 | Tracer |
| 排気表示 | Smoke |
| 推力 | 25m/s² |
| 噴進時間 | 15s |

### 中間誘導

| 項目 | 値 |
|---|---:|
| 誘導方式 | SARH |
| 誘導性能 | 12deg/s |
| 航法定数 | 3 |
| シーカー角 | 0deg（制限なし） |
| SARHルックダウン耐性 | 50m |
| 妨害要素 | ルックダウンのみ |

### 終末誘導

| 項目 | 値 |
|---|---:|
| ピットブル距離 | 300m |
| 誘導方式 | ARH |
| 誘導性能 | 8deg/s |
| 航法定数 | 3 |
| シーカー角 | 0deg（制限なし） |
| ARH目標候補化閾値 | ±15m/s |
| ARHデコイ誘引確率 | 0.02% |
| SARHルックダウン耐性 | N/A |

### 信管

| 項目 | 値 |
|---|---:|
| 信管種別 | 近接 |
| 信管半径 | 12m |
| 炸裂時間 | 0s |
| 爆発半径 | 15m |
